date,cyclists
9/22/2017,2372
9/23/2017,1580
9/24/2017,1428
9/25/2017,1606
9/26/2017,2502
9/27/2017,2710
9/28/2017,2709
9/29/2017,1526
9/30/2017,868
10/1/2017,1153
10/2/2017,2413
10/3/2017,2528
10/4/2017,2508
10/5/2017,2467
10/6/2017,1578
10/7/2017,917
10/8/2017,1126
10/9/2017,1178
10/10/2017,1874
10/11/2017,2045
10/12/2017,1647
10/13/2017,1677
10/14/2017,778
10/15/2017,1509
10/16/2017,1880
10/17/2017,1415
10/18/2017,1086
10/19/2017,1340
10/20/2017,1446
10/21/2017,252
10/22/2017,552
10/23/2017,1903
10/24/2017,2303
10/25/2017,1927
10/26/2017,2253
10/27/2017,2059
10/28/2017,1438
10/29/2017,1366
10/30/2017,2257
10/31/2017,2087
11/1/2017,2082
11/2/2017,1304
11/3/2017,891
11/4/2017,409
11/5/2017,580
11/6/2017,1640
11/7/2017,1701
11/8/2017,1588
11/9/2017,1357
11/10/2017,1552
11/11/2017,715
11/12/2017,372
11/13/2017,374
11/14/2017,1175
11/15/2017,1605
11/16/2017,1561
11/17/2017,1432
11/18/2017,807
11/19/2017,351
11/20/2017,1551
11/21/2017,1059
11/22/2017,1562
11/23/2017,1222
11/24/2017,1252
11/25/2017,653
11/26/2017,347
11/27/2017,1617
11/28/2017,1417
11/29/2017,1594
11/30/2017,1263
12/1/2017,942
12/2/2017,452
12/3/2017,729
12/4/2017,1488
12/5/2017,1567
12/6/2017,1620
12/7/2017,1491
12/8/2017,1148
12/9/2017,566
12/10/2017,656
12/11/2017,1387
12/12/2017,1460
12/13/2017,1556
12/14/2017,1514
12/15/2017,1102
12/16/2017,536
12/17/2017,305
12/18/2017,1307
12/19/2017,648
12/20/2017,991
12/21/2017,793
12/22/2017,862
12/23/2017,392
12/24/2017,246
12/25/2017,71
12/26/2017,345
12/27/2017,644
12/28/2017,395
12/29/2017,389
12/30/2017,530
12/31/2017,434
1/1/2018,466
1/2/2018,1153
1/3/2018,1333
1/4/2018,1161
1/5/2018,875
1/6/2018,812
1/7/2018,235
1/8/2018,1295
1/9/2018,1633
1/10/2018,1460
1/11/2018,905
1/12/2018,1121
1/13/2018,474
1/14/2018,1069
1/15/2018,1591
1/16/2018,1635
1/17/2018,1218
1/18/2018,1330
1/19/2018,1258
1/20/2018,700
1/21/2018,294
1/22/2018,1295
1/23/2018,1027
1/24/2018,1378
1/25/2018,1373
1/26/2018,1091
1/27/2018,383
1/28/2018,189
1/29/2018,314
1/30/2018,1141
1/31/2018,1215
2/1/2018,1008
2/2/2018,1120
2/3/2018,604
2/4/2018,590
2/5/2018,1568
2/6/2018,1517
2/7/2018,1418
2/8/2018,1597
2/9/2018,1395
2/10/2018,982
2/11/2018,647
2/12/2018,995
2/13/2018,1353
2/14/2018,1443
2/15/2018,1428
2/16/2018,1133
2/17/2018,293
2/18/2018,225
2/19/2018,1156
2/20/2018,1319
2/21/2018,880
2/22/2018,315
2/23/2018,409
2/24/2018,665
2/25/2018,378
2/26/2018,1390
2/27/2018,1455
2/28/2018,1162
3/1/2018,1510
3/2/2018,1053
3/3/2018,1126
3/4/2018,928
3/5/2018,1583
3/6/2018,1869
3/7/2018,1670
3/8/2018,1313
3/9/2018,1555
3/10/2018,1322
3/11/2018,1368
3/12/2018,2051
3/13/2018,1505
3/14/2018,1831
3/15/2018,2014
3/16/2018,1911
3/17/2018,1394
3/18/2018,1074
3/19/2018,1911
3/20/2018,1886
3/21/2018,1905
3/22/2018,1205
3/23/2018,1538
3/24/2018,1271
3/25/2018,1259
3/26/2018,1248
3/27/2018,1585
3/28/2018,1821
3/29/2018,1189
3/30/2018,1410
3/31/2018,2002
4/1/2018,1221
4/2/2018,1768
4/3/2018,2079
4/4/2018,1490
4/5/2018,1158
4/6/2018,1748
4/7/2018,983
4/8/2018,981
4/9/2018,2358
4/10/2018,2089
4/11/2018,1767
4/12/2018,2266
4/13/2018,1226
4/14/2018,1242
4/15/2018,1314
4/16/2018,1175
4/17/2018,1995
4/18/2018,1826
4/19/2018,2137
4/20/2018,1824
4/21/2018,1360
4/22/2018,2202
4/23/2018,2696
4/24/2018,2905
4/25/2018,2970
4/26/2018,3040
4/27/2018,2697
4/28/2018,468
4/29/2018,1404
4/30/2018,2058
5/1/2018,3068
5/2/2018,3123
5/3/2018,2923
5/4/2018,2374
5/5/2018,2281
5/6/2018,2207
5/7/2018,3090
5/8/2018,3147
5/9/2018,2790
5/10/2018,1594
5/11/2018,2972
5/12/2018,2204
5/13/2018,2224
5/14/2018,3291
5/15/2018,3357
5/16/2018,3074
5/17/2018,2947
5/18/2018,2506
5/19/2018,2071
5/20/2018,2022
5/21/2018,2096
5/22/2018,3285
5/23/2018,3422
5/24/2018,3212
5/25/2018,3040
5/26/2018,2130
5/27/2018,2532
5/28/2018,3833
5/29/2018,3666
5/30/2018,3547
5/31/2018,3444
6/1/2018,2962
6/2/2018,2261
6/3/2018,1085
6/4/2018,3040
6/5/2018,2911
6/6/2018,3172
6/7/2018,2712
6/8/2018,1761
6/9/2018,1708
6/10/2018,1809
6/11/2018,3211
6/12/2018,2950
6/13/2018,2375
6/14/2018,3183
6/15/2018,2674
6/16/2018,2590
6/17/2018,2809
6/18/2018,3378
6/19/2018,3586
6/20/2018,3301
6/21/2018,3308
6/22/2018,2585
6/23/2018,2200
6/24/2018,2185
6/25/2018,2887
6/26/2018,3435
6/27/2018,3244
6/28/2018,2666
6/29/2018,2094
6/30/2018,1024
7/1/2018,2647
7/2/2018,2131
7/3/2018,3266
7/4/2018,3276
7/5/2018,3221
7/6/2018,3075
7/7/2018,2044
7/8/2018,2537
7/9/2018,2827
7/10/2018,3416
7/11/2018,3496
7/12/2018,3273
7/13/2018,3106
7/14/2018,2706
7/15/2018,2699
7/16/2018,3189
7/17/2018,3498
7/18/2018,3442
7/19/2018,3201
7/20/2018,2925
7/21/2018,2379
7/22/2018,2255
7/23/2018,3274
7/24/2018,3435
7/25/2018,3453
7/26/2018,3271
7/27/2018,3001
7/28/2018,2308
7/29/2018,2379
7/30/2018,2986
7/31/2018,3330
8/1/2018,3301
8/2/2018,2891
8/3/2018,2635
8/4/2018,2400
8/5/2018,2582
8/6/2018,2429
8/7/2018,3124
8/8/2018,3273
8/9/2018,3265
8/10/2018,2865
8/11/2018,1683
8/12/2018,2105
8/13/2018,2917
8/14/2018,3165
8/15/2018,3078
